Orthogroup	opisthorchis_viverrini	schistosoma_rodhaini
OG0000000	T265_02938, T265_10989	SRDH2_77170.1
OG0000000	T265_06680	SRDH2_25620.1, SRDH2_86260.1, SRDH2_40700.1, SRDH2_80700.1, SRDH2_92740.1, SRDH2_7430.1, SRDH2_36210.1, SRDH2_88670.1, SRDH2_30050.1, SRDH2_48790.1
OG0000000	T265_14052, T265_05739, T265_04107	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1
OG0000002	T265_11803	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000002	T265_05040, T265_05430	SRDH2_34910.1, SRDH2_89180.1
OG0000005	T265_11244	SRDH2_44370.1, SRDH2_39490.1, SRDH2_84110.1, SRDH2_56810.1, SRDH2_58350.1, SRDH2_85280.1, SRDH2_1590.1, SRDH2_1590.2, SRDH2_1590.3, SRDH2_1590.4, SRDH2_1590.5, SRDH2_85730.1, SRDH2_28480.1, SRDH2_56330.1, SRDH2_102570.1, SRDH2_16230.1, SRDH2_45960.1, SRDH2_60700.1
OG0000006	T265_12134	SRDH2_49820.1, SRDH2_56060.1, SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1
OG0000006	T265_06454	SRDH2_65340.1, SRDH2_93320.1, SRDH2_73660.1, SRDH2_60720.1, SRDH2_102070.1, SRDH2_43700.1, SRDH2_79500.1, SRDH2_24320.1, SRDH2_40220.1, SRDH2_9810.1, SRDH2_30420.1
OG0000010	T265_04547	SRDH2_3700.1
OG0000012	T265_16252, T265_09012	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6
