Orthogroup	schistosoma_mansoni	schistosoma_bovis
OG0000003	Smp_059140.1, Smp_167670.1, Smp_167780.1	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1
OG0000004	Smp_037690.1	SBOV2_45530.3, SBOV2_17290.1, SBOV2_26620.1, SBOV2_56720.1, SBOV2_56720.2, SBOV2_96260.1, SBOV2_80040.1, SBOV2_55030.1, SBOV2_92090.1
OG0000009	Smp_245810.1	SBOV2_89880.1
OG0000009	Smp_118710.1	SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1
OG0000012	Smp_154760.1, Smp_154760.2	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	Smp_141630.1	SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20
OG0000015	Smp_201030.1	SBOV2_29460.1
OG0000015	Smp_326390.1	SBOV2_65410.1
OG0000015	Smp_202130.1	SBOV2_65420.1
OG0000015	Smp_201060.1	SBOV2_29300.1
