Orthogroup	fasciola_gigantica	s.mekongi
OG0000002	FGIG_11489	KAK4474259.1
OG0000008	FGIG_01604	KAK4474318.1, KAK4468964.1, KAK4474252.1, KAK4467601.1, KAK4468976.1, KAK4470009.1, KAK4472135.1, KAK4471023.1, KAK4472164.1, KAK4469013.1, KAK4474346.1, KAK4467342.1, KAK4474332.1, KAK4468393.1, KAK4472156.1, KAK4472220.1, KAK4470024.1, KAK4472202.1, KAK4467417.1, KAK4472184.1, KAK4474224.1, KAK4467594.1, KAK4472176.1, KAK4467510.1, KAK4472175.1, KAK4471031.1, KAK4474350.1, KAK4471058.1, KAK4471059.1, KAK4470040.1, KAK4472171.1, KAK4468959.1, KAK4468984.1, KAK4468403.1, KAK4472121.1, KAK4468382.1, KAK4474240.1, KAK4474246.1, KAK4472200.1
OG0000012	FGIG_00643	KAK4473632.1
OG0000014	FGIG_02434	KAK4473936.1
OG0000015	FGIG_12126, FGIG_08847	KAK4471448.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	KAK4473954.1, KAK4473955.1
OG0000015	FGIG_03653	KAK4467362.1, KAK4467363.1
OG0000015	FGIG_05368, FGIG_05133	KAK4474356.1
OG0000019	FGIG_11320	KAK4473983.1, KAK4473981.1
OG0000021	FGIG_06427, FGIG_06428	KAK4475891.1
OG0000022	FGIG_03596, FGIG_03595	KAK4473037.1
OG0000023	FGIG_12315	KAK4468392.1
OG0000024	FGIG_02542	KAK4473313.1
OG0000024	FGIG_10904	KAK4468456.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	KAK4471475.1
OG0000026	FGIG_05063	KAK4470973.1
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	KAK4470239.1, KAK4470240.1, KAK4470216.1
OG0000027	FGIG_03818	KAK4473677.1, KAK4472147.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	KAK4470768.1
OG0000029	FGIG_01225	KAK4471130.1
OG0000029	FGIG_12390, FGIG_07520	KAK4468717.1
OG0000029	FGIG_04785	KAK4474996.1
OG0000029	FGIG_11109	KAK4468699.1, KAK4468698.1
OG0000030	FGIG_03562	KAK4476063.1
OG0000031	FGIG_00219, FGIG_09645	KAK4475389.1
OG0000032	FGIG_12135	KAK4470045.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1
OG0000035	FGIG_03979, FGIG_03980	KAK4475274.1
OG0000036	FGIG_02104	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1
OG0000037	FGIG_03131, FGIG_03132	KAK4471851.1, KAK4471850.1
OG0000042	FGIG_05270	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	KAK4468903.1, KAK4468904.1
OG0000045	FGIG_12527	KAK4468037.1, KAK4470284.1
OG0000049	FGIG_07932, FGIG_00477	KAK4470136.1, KAK4470137.1
OG0000049	FGIG_06077	KAK4470598.1
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	KAK4469367.1
OG0000052	FGIG_00994	KAK4472821.1
OG0000052	FGIG_02824	KAK4474336.1
OG0000052	FGIG_00846	KAK4474374.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	KAK4474946.1
OG0000052	FGIG_04502, FGIG_12676	KAK4471620.1
OG0000053	FGIG_08393, FGIG_12440	KAK4475177.1, KAK4475178.1
OG0000054	FGIG_06834, FGIG_00432, FGIG_05300	KAK4471074.1, KAK4472139.1, KAK4469996.1
OG0000055	FGIG_03285, FGIG_05988	KAK4471575.1, KAK4471564.1
OG0000058	FGIG_11220	KAK4468525.1
OG0000058	FGIG_06708	KAK4470069.1
OG0000058	FGIG_00649	KAK4470074.1, KAK4470072.1, KAK4470068.1
OG0000060	FGIG_07684	KAK4471247.1
OG0000061	FGIG_09986	KAK4469486.1
OG0000062	FGIG_00991	KAK4475970.1
OG0000063	FGIG_03231	KAK4473734.1
OG0000064	FGIG_12411, FGIG_06602	KAK4475705.1
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	KAK4473358.1, KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	FGIG_00170	KAK4473833.1
OG0000067	FGIG_02840, FGIG_02842	KAK4471577.1
OG0000068	FGIG_12158	KAK4469181.1
OG0000068	FGIG_12079	KAK4467758.1
OG0000068	FGIG_07351	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	FGIG_05814	KAK4472801.1
OG0000069	FGIG_12680, FGIG_06996	KAK4474982.1
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	KAK4472878.1
OG0000071	FGIG_07065, FGIG_07067	KAK4472253.1
OG0000072	FGIG_06022, FGIG_09056	KAK4468648.1
OG0000073	FGIG_05759	KAK4469816.1
OG0000074	FGIG_06125	KAK4476006.1
OG0000074	FGIG_03273	KAK4468714.1
OG0000074	FGIG_07718	KAK4474596.1
OG0000074	FGIG_01338	KAK4468705.1
OG0000075	FGIG_05387	KAK4472282.1
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	KAK4468620.1
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	KAK4467358.1, KAK4475671.1
OG0000077	FGIG_09054	KAK4475941.1
OG0000078	FGIG_04314	KAK4467476.1, KAK4475827.1
OG0000079	FGIG_07135, FGIG_07136	KAK4472724.1
OG0000080	FGIG_03532	KAK4472503.1
OG0000081	FGIG_05277, FGIG_11514	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	FGIG_06461	KAK4476263.1
OG0000085	FGIG_06241	KAK4474010.1
OG0000086	FGIG_09371	KAK4470561.1
OG0000087	FGIG_03026	KAK4469513.1
OG0000088	FGIG_14005, FGIG_05150	KAK4475590.1, KAK4475589.1
OG0000090	FGIG_01258	KAK4469374.1
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	KAK4469611.1
OG0000092	FGIG_06562	KAK4475365.1
OG0000092	FGIG_11548	KAK4474711.1
OG0000093	FGIG_04003	KAK4473668.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	KAK4467328.1, KAK4467335.1
OG0000094	FGIG_00948	KAK4475997.1
OG0000095	FGIG_01883	KAK4471403.1, KAK4471978.1
OG0000096	FGIG_03065	KAK4474123.1
OG0000097	FGIG_06823	KAK4476042.1, KAK4476041.1
OG0000098	FGIG_08056	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	FGIG_08009	KAK4471639.1
OG0000099	FGIG_01162	KAK4471562.1
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	KAK4470190.1
OG0000102	FGIG_11657	KAK4475905.1
OG0000102	FGIG_04726, FGIG_06854	KAK4472110.1
OG0000103	FGIG_06145, FGIG_13990	KAK4470657.1
OG0000104	FGIG_08148	KAK4475921.1
OG0000105	FGIG_00113, FGIG_06918	KAK4474244.1, KAK4476082.1
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	KAK4475981.1
OG0000110	FGIG_03667	KAK4472451.1, KAK4472446.1
OG0000110	FGIG_10562	KAK4472452.1
OG0000110	FGIG_06603	KAK4472453.1
OG0000111	FGIG_04030	KAK4473064.1
OG0000111	FGIG_03777	KAK4469719.1
OG0000111	FGIG_04347	KAK4472666.1
