Orthogroup	fasciola_gigantica	schistosoma_margrebowiei
OG0000008	FGIG_01604	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1, SMRG1_21640.1
OG0000012	FGIG_00643	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4, SMRG1_40800.59
OG0000014	FGIG_02434	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8
OG0000015	FGIG_12126, FGIG_08847	SMRG1_66420.1, SMRG1_66430.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SMRG1_38470.1
OG0000015	FGIG_10471, FGIG_07736	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3
OG0000015	FGIG_03653	SMRG1_43920.2, SMRG1_43920.1
OG0000015	FGIG_02432	SMRG1_43060.2, SMRG1_43060.3, SMRG1_43060.1, SMRG1_43070.1
OG0000015	FGIG_05368, FGIG_05133	SMRG1_9700.1, SMRG1_9780.1
OG0000019	FGIG_11320	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14
OG0000021	FGIG_04378, FGIG_04728	SMRG1_7940.1, SMRG1_7940.2
OG0000021	FGIG_06427, FGIG_06428	SMRG1_5600.1
OG0000022	FGIG_03596, FGIG_03595	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000024	FGIG_02542	SMRG1_23720.1
OG0000024	FGIG_10904	SMRG1_92680.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SMRG1_64800.1
OG0000026	FGIG_05063	SMRG1_80090.1, SMRG1_80090.2
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SMRG1_72900.1, SMRG1_72830.1
OG0000027	FGIG_03818	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	FGIG_01225	SMRG1_58130.1
OG0000029	FGIG_12390, FGIG_07520	SMRG1_88400.1
OG0000029	FGIG_04785	SMRG1_19850.1
OG0000029	FGIG_11109	SMRG1_89280.1, SMRG1_89270.1
OG0000030	FGIG_03562	SMRG1_6460.1
OG0000031	FGIG_00219, FGIG_09645	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	FGIG_12135	SMRG1_9210.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SMRG1_92940.1, SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1, SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1
OG0000035	FGIG_03979, FGIG_03980	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000037	FGIG_03131, FGIG_03132	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4, SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000040	FGIG_07013	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000042	FGIG_05270	SMRG1_40000.1, SMRG1_40000.2, SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3, SMRG1_39890.1, SMRG1_39890.2, SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	FGIG_08366	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3, SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1
OG0000045	FGIG_12527	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4, SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3
OG0000049	FGIG_07932, FGIG_00477	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
OG0000049	FGIG_06077	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5
OG0000052	FGIG_00994	SMRG1_28750.1
OG0000052	FGIG_02824	SMRG1_3130.1
OG0000052	FGIG_00846	SMRG1_980.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	SMRG1_600.1
OG0000052	FGIG_04502, FGIG_12676	SMRG1_67530.1
OG0000053	FGIG_08393, FGIG_12440	SMRG1_16530.1, SMRG1_16530.2
OG0000055	FGIG_03285, FGIG_05988	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3
OG0000058	FGIG_11220	SMRG1_91250.1
OG0000058	FGIG_06708	SMRG1_80930.1
OG0000058	FGIG_00649	SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1, SMRG1_80920.1, SMRG1_80920.2
OG0000060	FGIG_07684	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9
OG0000061	FGIG_09986	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16
