Orthogroup	schistosoma_margrebowiei	schistosoma_japonicum
OG0000000	SMRG1_1020.1	EWB00_011331, EWB00_010543
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1, SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000003	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1, SMRG1_26290.1, SMRG1_26290.2, SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1, SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	SMRG1_79980.1, SMRG1_64480.1, SMRG1_21460.1, SMRG1_72490.1, SMRG1_64540.1, SMRG1_53600.1, SMRG1_64830.1, SMRG1_40440.1, SMRG1_41960.1, SMRG1_71400.1	EWB00_009940
OG0000004	SMRG1_32430.1	EWB00_002233
OG0000005	SMRG1_43520.1, SMRG1_32650.1, SMRG1_72200.1	EWB00_000895
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1, SMRG1_14940.1, SMRG1_64070.1	EWB00_004294, EWB00_009952
OG0000006	SMRG1_90230.1, SMRG1_8290.1, SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1	EWB00_002568
OG0000008	SMRG1_21640.1	EWB00_003269
OG0000010	SMRG1_86660.1	EWB00_004604
OG0000012	SMRG1_40800.59	EWB00_002832
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	SMRG1_66420.1	EWB00_008878
OG0000015	SMRG1_66430.1	EWB00_008877
OG0000015	SMRG1_38470.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3	EWB00_004377.1, EWB00_004377.2
