Orthogroup	schmidtea_mediterranea	trichobilharzia_regenti
OG0000000	h1SMcT0000914.1	TREG1_23840.1, TREG1_9090.1, TREG1_81550.1, TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1, TREG1_132140.1, TREG1_25950.1, TREG1_25950.2, TREG1_33440.1, TREG1_3850.1, TREG1_12930.1, TREG1_107930.1, TREG1_1600.1, TREG1_32100.1, TREG1_36580.1, TREG1_132370.1, TREG1_31660.1, TREG1_109700.1, TREG1_124980.1, TREG1_127980.1, TREG1_112710.1, TREG1_50420.1, TREG1_10500.1, TREG1_16100.1, TREG1_41620.1, TREG1_9500.1, TREG1_102660.1, TREG1_124350.1, TREG1_99520.1, TREG1_32950.1, TREG1_112970.1, TREG1_28080.1, TREG1_107600.1, TREG1_10940.1, TREG1_9740.1, TREG1_3720.1, TREG1_60300.1, TREG1_110450.1, TREG1_70540.1, TREG1_17210.1, TREG1_510.1, TREG1_128570.1, TREG1_48170.1, TREG1_138120.1, TREG1_9360.1, TREG1_134960.1, TREG1_32830.1, TREG1_3640.1, TREG1_87350.1, TREG1_61000.1, TREG1_56700.1, TREG1_127940.1, TREG1_120810.1, TREG1_101180.1, TREG1_1700.1, TREG1_59290.1, TREG1_43720.1, TREG1_133770.1, TREG1_31460.1, TREG1_125800.1, TREG1_33040.1, TREG1_35370.1, TREG1_43320.1, TREG1_114470.1, TREG1_143040.1, TREG1_52830.1, TREG1_75910.1, TREG1_54470.1, TREG1_57330.1, TREG1_122020.1, TREG1_83170.1, TREG1_67330.1, TREG1_28270.1, TREG1_94670.1, TREG1_63770.1, TREG1_77850.1, TREG1_60380.1, TREG1_84470.1, TREG1_100160.1, TREG1_33660.1, TREG1_115050.1, TREG1_139960.1, TREG1_130780.1, TREG1_20970.1, TREG1_99990.1, TREG1_83270.1, TREG1_91780.1
OG0000002	h1SMcT0001934.1	TREG1_89890.1, TREG1_107140.1, TREG1_107150.1, TREG1_117320.1, TREG1_117320.2, TREG1_117330.1, TREG1_47440.1, TREG1_107140.2, TREG1_117320.3, TREG1_117320.4, TREG1_121520.1, TREG1_44080.1, TREG1_49960.1
OG0000005	h1SMcT0002504.1	TREG1_47720.1
OG0000008	h1SMcT0015005.1	TREG1_49460.1, TREG1_80200.1, TREG1_28990.1, TREG1_24040.1, TREG1_24050.2, TREG1_69260.1, TREG1_101690.1, TREG1_112780.1, TREG1_112780.2, TREG1_125290.1, TREG1_81030.1, TREG1_45350.1, TREG1_64440.1, TREG1_53580.1, TREG1_47690.1, TREG1_28430.1, TREG1_15500.1, TREG1_124510.1, TREG1_6610.1, TREG1_124840.1, TREG1_26660.1, TREG1_105420.1, TREG1_105420.2, TREG1_133880.1, TREG1_87960.1, TREG1_97780.1, TREG1_25690.1, TREG1_98660.1, TREG1_26670.1, TREG1_38720.1, TREG1_71540.1, TREG1_71550.1
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	TREG1_111030.1, TREG1_75240.1, TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1, TREG1_110120.1, TREG1_113870.1, TREG1_2240.1, TREG1_2250.1, TREG1_4050.1, TREG1_111470.1, TREG1_51970.1, TREG1_11990.1, TREG1_9000.1, TREG1_111240.1, TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1, TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1, TREG1_113410.1, TREG1_41040.1, TREG1_58490.1, TREG1_111100.1, TREG1_134360.1, TREG1_129910.1, TREG1_9150.1, TREG1_116050.1, TREG1_7850.1, TREG1_113040.1, TREG1_51650.1, TREG1_56290.1, TREG1_73870.1, TREG1_135550.1, TREG1_64950.1, TREG1_106560.1, TREG1_56430.1, TREG1_58610.1, TREG1_14020.1, TREG1_122800.1, TREG1_65930.1, TREG1_130410.1, TREG1_132950.1, TREG1_66450.1, TREG1_96470.1, TREG1_72080.1, TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2, TREG1_79630.1, TREG1_103980.1, TREG1_64410.1, TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1, TREG1_118270.1, TREG1_102740.1, TREG1_66660.1, TREG1_43290.1, TREG1_134850.3, TREG1_29470.1
OG0000010	h1SMcT0012568.1	TREG1_49980.1, TREG1_51980.1, TREG1_51950.1, TREG1_51990.1, TREG1_134950.1, TREG1_46500.1, TREG1_143760.1, TREG1_139440.1, TREG1_49970.1, TREG1_106200.1, TREG1_14390.1, TREG1_25160.1, TREG1_83450.1, TREG1_4370.1, TREG1_4380.1, TREG1_50630.1, TREG1_137650.1, TREG1_61070.1, TREG1_68140.1, TREG1_98050.1, TREG1_94720.1, TREG1_3360.2, TREG1_80700.1, TREG1_94700.1, TREG1_145500.1, TREG1_16790.1, TREG1_16790.2, TREG1_111780.1, TREG1_27850.2, TREG1_34460.1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	TREG1_45790.1
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	h1SMcT0022961.1	TREG1_51330.1, TREG1_82560.1, TREG1_82570.1, TREG1_44970.1, TREG1_44960.1, TREG1_44940.2, TREG1_44940.1, TREG1_51340.1, TREG1_42910.1, TREG1_42890.1, TREG1_42920.1, TREG1_42390.2, TREG1_42390.1, TREG1_42390.3, TREG1_42400.1, TREG1_129100.1
OG0000019	h1SMcT0009829.1	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	TREG1_7080.1, TREG1_13160.1, TREG1_13170.1, TREG1_13180.1, TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5, TREG1_13140.1, TREG1_13140.2, TREG1_13140.3, TREG1_13150.1, TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	TREG1_58780.1
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	TREG1_48810.1
OG0000024	h1SMcT0018867.1, h1SMcT0018867.2	TREG1_110330.1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
