Orthogroup	schistosoma_margrebowiei	s.mekongi
OG0000000	SMRG1_72270.1, SMRG1_42550.1, SMRG1_26810.1, SMRG1_30370.1, SMRG1_39800.1, SMRG1_86250.1, SMRG1_75870.1	KAK4474313.1, KAK4474221.1
OG0000000	SMRG1_30640.1, SMRG1_1020.1, SMRG1_8740.1, SMRG1_9520.1, SMRG1_21630.1, SMRG1_10830.1, SMRG1_93580.1, SMRG1_43020.1, SMRG1_35620.1, SMRG1_9090.1, SMRG1_45810.1	KAK4467292.1
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1	KAK4467347.1
OG0000004	SMRG1_32440.1	KAK4467973.1, KAK4471060.1
OG0000004	SMRG1_32430.1	KAK4470021.1
OG0000004	SMRG1_26960.1	KAK4472124.1
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1, SMRG1_14940.1, SMRG1_64070.1	KAK4467570.1
OG0000008	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1, SMRG1_21640.1	KAK4472200.1
OG0000009	SMRG1_85170.1	KAK4471801.1
OG0000009	SMRG1_37020.1, SMRG1_3150.1	KAK4472212.1
OG0000012	SMRG1_40800.59	KAK4473632.1
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	KAK4473936.1
OG0000015	SMRG1_38270.1	KAK4473938.1
OG0000015	SMRG1_66420.1	KAK4471448.1
OG0000015	SMRG1_38470.1	KAK4473954.1, KAK4473955.1
OG0000015	SMRG1_43920.2, SMRG1_43920.1	KAK4467362.1, KAK4467363.1
OG0000015	SMRG1_9700.1, SMRG1_9780.1	KAK4474356.1
OG0000016	SMRG1_61440.1, SMRG1_72700.1, SMRG1_53180.1, SMRG1_29570.1, SMRG1_830.1, SMRG1_81950.1, SMRG1_81990.1, SMRG1_12790.1	KAK4472342.1
OG0000018	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2	KAK4473983.1
OG0000019	SMRG1_36800.13, SMRG1_36800.14	KAK4473981.1
OG0000021	SMRG1_5610.1	KAK4475892.1, KAK4475894.1
OG0000021	SMRG1_5620.1	KAK4475895.1
OG0000021	SMRG1_5580.1, SMRG1_5580.2	KAK4475890.1
OG0000021	SMRG1_5600.1	KAK4475891.1
OG0000021	SMRG1_5560.1, SMRG1_5560.2	KAK4475889.1
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	KAK4473037.1
OG0000023	SMRG1_41500.1	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1
OG0000023	SMRG1_17810.1	KAK4472155.1, KAK4472183.1
OG0000024	SMRG1_23720.1	KAK4473313.1
OG0000024	SMRG1_92680.1	KAK4468456.1
OG0000024	SMRG1_64800.1	KAK4471475.1
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	KAK4470835.1
OG0000026	SMRG1_80090.1, SMRG1_80090.2	KAK4470973.1
OG0000026	SMRG1_72900.1	KAK4470239.1, KAK4470240.1
OG0000026	SMRG1_72830.1	KAK4470216.1
OG0000027	SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9	KAK4472147.1
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	KAK4470768.1
OG0000029	SMRG1_58130.1	KAK4471130.1
OG0000029	SMRG1_88400.1	KAK4468717.1
OG0000029	SMRG1_88360.1	KAK4468778.1
OG0000029	SMRG1_19850.1	KAK4474996.1
OG0000029	SMRG1_89280.1	KAK4468699.1
OG0000030	SMRG1_6460.1	KAK4476063.1
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	KAK4475389.1
OG0000032	SMRG1_9940.1	KAK4476285.1
OG0000032	SMRG1_57890.2	KAK4476283.1, KAK4476284.1
OG0000032	SMRG1_9210.1, SMRG1_80140.1, SMRG1_9980.1, SMRG1_80130.1	KAK4470045.1
OG0000033	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	SMRG1_92940.1	KAK4468479.1
OG0000034	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1	KAK4468478.1
OG0000034	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1	KAK4471028.1, KAK4471029.1
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	KAK4475274.1
OG0000036	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1	KAK4470022.1
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4	KAK4471851.1
OG0000037	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	KAK4471850.1
OG0000041	SMRG1_41350.1, SMRG1_49530.1	KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1
OG0000042	SMRG1_40000.1, SMRG1_40000.2	KAK4472150.1
OG0000042	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3	KAK4472153.1
OG0000042	SMRG1_39890.1, SMRG1_39890.2	KAK4473688.1
OG0000042	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	KAK4472151.1, KAK4472152.1
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3	KAK4468903.1
OG0000044	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1	KAK4468904.1
OG0000045	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4	KAK4468037.1
OG0000045	SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3	KAK4470284.1
OG0000049	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8	KAK4470136.1, KAK4470137.1
OG0000049	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6	KAK4470598.1
OG0000050	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5	KAK4469367.1
OG0000052	SMRG1_28750.1	KAK4472821.1
OG0000052	SMRG1_3130.1	KAK4474336.1
OG0000052	SMRG1_980.1	KAK4474374.1
OG0000052	SMRG1_600.1	KAK4474946.1
OG0000052	SMRG1_67530.1	KAK4471620.1
OG0000053	SMRG1_16530.1, SMRG1_16530.2	KAK4475177.1, KAK4475178.1
OG0000054	SMRG1_62790.1, SMRG1_22860.1, SMRG1_96460.1	KAK4471025.1, KAK4468371.1, KAK4474289.1
OG0000055	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3	KAK4471575.1, KAK4471564.1
