Orthogroup	schistosoma_rodhaini	schistosoma_curassoni
OG0000000	SRDH2_77170.1	SCUR1_23690.1
OG0000000	SRDH2_102430.1, SRDH2_82340.1, SRDH2_25620.1, SRDH2_86260.1, SRDH2_40700.1, SRDH2_80700.1, SRDH2_92740.1, SRDH2_7430.1, SRDH2_36210.1, SRDH2_88670.1, SRDH2_30050.1, SRDH2_48790.1	SCUR1_12880.1
OG0000000	SRDH2_24900.1, SRDH2_101460.1, SRDH2_14500.1, SRDH2_101870.1, SRDH2_13090.1, SRDH2_1270.1, SRDH2_31520.1, SRDH2_40850.1, SRDH2_55230.1, SRDH2_28860.1, SRDH2_95130.1, SRDH2_51740.1	SCUR1_3160.1
OG0000000	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1	SCUR1_2030.1, SCUR1_59970.1, SCUR1_13410.1, SCUR1_84530.1, SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1, SCUR1_64420.1, SCUR1_36220.1, SCUR1_10670.1, SCUR1_18070.1
OG0000002	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7, SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1, SCUR1_10130.1, SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4, SCUR1_44420.1
OG0000002	SRDH2_34910.1, SRDH2_89180.1	SCUR1_56640.1
OG0000004	SRDH2_54290.1, SRDH2_21930.1, SRDH2_72680.1, SRDH2_36920.1, SRDH2_47990.1, SRDH2_80390.1, SRDH2_101980.1	SCUR1_73880.1
OG0000004	SRDH2_50480.1	SCUR1_59610.1
OG0000004	SRDH2_85640.1	SCUR1_18250.1
OG0000004	SRDH2_56030.1	SCUR1_34200.1
OG0000004	SRDH2_84690.1	SCUR1_16210.1
OG0000004	SRDH2_89230.1	SCUR1_59990.1
OG0000005	SRDH2_102570.1	SCUR1_57140.1
OG0000005	SRDH2_74440.1, SRDH2_1360.1, SRDH2_79640.1, SRDH2_93790.1, SRDH2_9680.1, SRDH2_55640.1, SRDH2_39870.1, SRDH2_24030.1, SRDH2_92820.1, SRDH2_68140.1, SRDH2_42260.1, SRDH2_40170.1	SCUR1_58770.1, SCUR1_43030.1, SCUR1_39690.1, SCUR1_76910.1, SCUR1_55630.1, SCUR1_90280.1, SCUR1_93510.1, SCUR1_32030.1, SCUR1_13830.1, SCUR1_89370.1
OG0000006	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1	SCUR1_64410.1, SCUR1_47060.1, SCUR1_99930.1, SCUR1_69570.1, SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1
OG0000006	SRDH2_74110.1, SRDH2_95720.1, SRDH2_42990.1, SRDH2_40930.1, SRDH2_56680.1	SCUR1_81700.1, SCUR1_36840.1, SCUR1_89870.1, SCUR1_93140.1
OG0000006	SRDH2_49820.1, SRDH2_56060.1	SCUR1_97460.1, SCUR1_29880.1, SCUR1_770.1, SCUR1_86810.1
OG0000006	SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1	SCUR1_32370.1, SCUR1_63120.1
OG0000006	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1	SCUR1_8080.1, SCUR1_2450.1
