Orthogroup	schistosoma_japonicum	fasciola_gigantica
OG0000000	EWB00_003401, EWB00_010051	FGIG_01283
OG0000002	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919	FGIG_02209
OG0000002	EWB00_000881	FGIG_11489
OG0000008	EWB00_009725, EWB00_007732, EWB00_009511, EWB00_011235, EWB00_009724, EWB00_000089, EWB00_004485, EWB00_008581, EWB00_003327, EWB00_000151, EWB00_003366, EWB00_009466, EWB00_005808, EWB00_003269	FGIG_01604
OG0000012	EWB00_002832	FGIG_00643
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	FGIG_02434
OG0000015	EWB00_008878, EWB00_008877	FGIG_12126, FGIG_08847
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	EWB00_004377.1, EWB00_004377.2	FGIG_10471, FGIG_07736
OG0000015	EWB00_009254, EWB00_009256.1, EWB00_009256.2	FGIG_03653
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	FGIG_05368, FGIG_05133
OG0000019	EWB00_004344, EWB00_004346	FGIG_11320
OG0000021	EWB00_010539	FGIG_04378, FGIG_04728
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	FGIG_06427, FGIG_06428
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	FGIG_03596, FGIG_03595
OG0000024	EWB00_007079	FGIG_02542
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	FGIG_10904
OG0000024	EWB00_008906	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	EWB00_002251.1, EWB00_002251.2	FGIG_05063
OG0000026	EWB00_002721, EWB00_002746	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	EWB00_003944	FGIG_03818
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	EWB00_008857	FGIG_01225
OG0000029	EWB00_007517	FGIG_12390, FGIG_07520
OG0000029	EWB00_002502.1, EWB00_002502.2, EWB00_002502.4	FGIG_04785
OG0000029	EWB00_004876, EWB00_004878	FGIG_11109
OG0000030	EWB00_003826	FGIG_03562
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	FGIG_00219, FGIG_09645
