Orthogroup	fasciola_gigantica	trichobilharzia_regenti
OG0000002	FGIG_09319	TREG1_89890.1, TREG1_107140.1, TREG1_107150.1, TREG1_117320.1, TREG1_117320.2, TREG1_117330.1, TREG1_47440.1, TREG1_107140.2, TREG1_117320.3, TREG1_117320.4
OG0000002	FGIG_11489	TREG1_121520.1
OG0000008	FGIG_01604	TREG1_130760.1, TREG1_49460.1, TREG1_80200.1, TREG1_28990.1, TREG1_24040.1, TREG1_24050.2, TREG1_69260.1, TREG1_101690.1, TREG1_112780.1, TREG1_112780.2, TREG1_125290.1, TREG1_81030.1, TREG1_45350.1, TREG1_64440.1, TREG1_53580.1, TREG1_47690.1, TREG1_28430.1, TREG1_15500.1, TREG1_124510.1, TREG1_6610.1, TREG1_124840.1, TREG1_26660.1, TREG1_105420.1, TREG1_105420.2, TREG1_133880.1, TREG1_87960.1, TREG1_97780.1, TREG1_25690.1, TREG1_98660.1, TREG1_26670.1, TREG1_38720.1, TREG1_71540.1, TREG1_71550.1
OG0000009	FGIG_01054	TREG1_29470.1
OG0000012	FGIG_00643	TREG1_45790.1
OG0000014	FGIG_02434	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	FGIG_12126, FGIG_08847	TREG1_82560.1, TREG1_82570.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	TREG1_44970.1
OG0000015	FGIG_10471, FGIG_07736	TREG1_44960.1
OG0000015	FGIG_03653	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	FGIG_02432	TREG1_42390.2
OG0000019	FGIG_11320	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	FGIG_04378, FGIG_04728	TREG1_7080.1
OG0000021	FGIG_06427, FGIG_06428	TREG1_13150.1
OG0000022	FGIG_03596, FGIG_03595	TREG1_58780.1
OG0000024	FGIG_02542	TREG1_48810.1
OG0000024	FGIG_09065	TREG1_122360.1
OG0000024	FGIG_02666, FGIG_02661, FGIG_02664	TREG1_103920.1, TREG1_103920.2
OG0000024	FGIG_01641	TREG1_110330.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000026	FGIG_05063	TREG1_108810.1
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	TREG1_100830.1, TREG1_100840.1
OG0000027	FGIG_03818	TREG1_41010.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	FGIG_01225	TREG1_77780.2, TREG1_77780.1
OG0000029	FGIG_12390, FGIG_07520	TREG1_125210.1
OG0000029	FGIG_11109	TREG1_124060.1, TREG1_124050.1
OG0000030	FGIG_03562	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	FGIG_00219, FGIG_09645	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	FGIG_03670	TREG1_56670.1
OG0000032	FGIG_12135	TREG1_77560.1
OG0000032	FGIG_04371	TREG1_29630.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	TREG1_128470.1, TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	FGIG_03979, FGIG_03980	TREG1_21190.1, TREG1_21180.1
OG0000036	FGIG_02104	TREG1_63270.1
OG0000037	FGIG_03131, FGIG_03132	TREG1_88330.1, TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1, TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	FGIG_07013	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000042	FGIG_05270	TREG1_41180.1, TREG1_41180.2, TREG1_138040.1, TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000043	FGIG_08366	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000045	FGIG_12527	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4
OG0000049	FGIG_07932, FGIG_00477	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	FGIG_06077	TREG1_104790.1
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	TREG1_61870.1, TREG1_61870.2
OG0000052	FGIG_00994	TREG1_49560.1, TREG1_49560.2
OG0000052	FGIG_02824	TREG1_1120.1, TREG1_1140.1
OG0000052	FGIG_00846	TREG1_13330.1, TREG1_13320.1
OG0000052	FGIG_00459	TREG1_13340.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	FGIG_04502, FGIG_12676	TREG1_82400.1
OG0000053	FGIG_08393, FGIG_12440	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000054	FGIG_06834, FGIG_00432	TREG1_17230.1
OG0000054	FGIG_12516	TREG1_78260.1, TREG1_125050.1, TREG1_108180.1, TREG1_49720.1, TREG1_138980.1, TREG1_138980.2, TREG1_138980.3, TREG1_145510.1, TREG1_60480.1, TREG1_60480.2, TREG1_97910.2, TREG1_10200.1, TREG1_51670.2, TREG1_113750.28, TREG1_128510.1, TREG1_88620.1, TREG1_24310.1, TREG1_51670.1
OG0000055	FGIG_03285, FGIG_05988	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000058	FGIG_11220	TREG1_125580.1
OG0000058	FGIG_06708	TREG1_101190.1, TREG1_101210.1
OG0000058	FGIG_00649	TREG1_109360.1, TREG1_109360.2, TREG1_101200.1
OG0000060	FGIG_07684	TREG1_87890.1
OG0000061	FGIG_09986	TREG1_76900.1, TREG1_76910.1
OG0000063	FGIG_03231	TREG1_43920.1, TREG1_43920.2
OG0000064	FGIG_12411, FGIG_06602	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
