Orthogroup	schistosoma_mansoni	schistosoma_rodhaini
OG0000004	Smp_037690.1	SRDH2_85920.1, SRDH2_58630.1, SRDH2_20010.1, SRDH2_54290.1, SRDH2_21930.1, SRDH2_72680.1, SRDH2_36920.1, SRDH2_47990.1, SRDH2_80390.1, SRDH2_101980.1, SRDH2_66740.1, SRDH2_30130.1, SRDH2_82830.1, SRDH2_12350.1, SRDH2_78730.1, SRDH2_50480.1, SRDH2_60420.1, SRDH2_85640.1, SRDH2_56030.1
OG0000006	Smp_330020.1	SRDH2_65340.1
OG0000009	Smp_245810.1	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1
OG0000009	Smp_118710.1	SRDH2_66450.1, SRDH2_33280.1
OG0000012	Smp_154760.1, Smp_154760.2	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6
OG0000014	Smp_141630.1	SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4, SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8, SRDH2_32020.38, SRDH2_32020.40, SRDH2_32020.2, SRDH2_32020.21, SRDH2_32020.29, SRDH2_32020.6, SRDH2_32020.11, SRDH2_32020.26, SRDH2_32020.31, SRDH2_32020.32, SRDH2_32020.34, SRDH2_32020.22, SRDH2_32020.10, SRDH2_32020.35, SRDH2_32020.36, SRDH2_32020.39, SRDH2_32020.9
OG0000015	Smp_201030.1	SRDH2_32040.2
OG0000015	Smp_326390.1	SRDH2_66330.1
OG0000015	Smp_202130.1	SRDH2_66340.1
OG0000015	Smp_201060.1	SRDH2_38560.1
OG0000015	Smp_095520.1	SRDH2_38570.1
OG0000015	Smp_174520.1	SRDH2_38590.1
OG0000015	Smp_320310.1	SRDH2_43900.1
OG0000015	Smp_312630.1, Smp_302860.1	SRDH2_43070.1, SRDH2_43080.1
OG0000015	Smp_200180.1	SRDH2_43060.1
OG0000015	Smp_200190.1	SRDH2_43100.1
OG0000015	Smp_322950.1	SRDH2_10450.1
OG0000016	Smp_169310.1	SRDH2_37960.1
