Orthogroup	schistosoma_haematobium	schistosoma_bovis
OG0000000	SHAE2_74450.1, SHAE2_63900.1	SBOV2_46600.1
OG0000000	SHAE2_81470.1, SHAE2_22980.1, SHAE2_22980.2, SHAE2_22980.3, SHAE2_22980.4, SHAE2_100780.1, SHAE2_69900.1	SBOV2_24640.1
OG0000000	SHAE2_79350.1, SHAE2_44510.1, SHAE2_59870.1, SHAE2_36390.1, SHAE2_51630.1	SBOV2_45580.1
OG0000000	SHAE2_33880.1	SBOV2_95890.1
OG0000002	SHAE2_2970.1, SHAE2_2970.2, SHAE2_2980.1	SBOV2_81170.1, SBOV2_81170.2, SBOV2_81170.3, SBOV2_81170.4, SBOV2_81170.5
OG0000002	SHAE2_71200.1	SBOV2_57690.1, SBOV2_57690.2
OG0000002	SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4	SBOV2_96120.1
OG0000002	SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3	SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3
OG0000003	SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2	SBOV2_32260.1
OG0000003	SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3	SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6
OG0000003	SHAE2_24270.7, SHAE2_91290.1	SBOV2_32260.3
OG0000003	SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5	SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2
OG0000003	SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17	SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3
OG0000003	SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5	SBOV2_67820.1, SBOV2_45640.4
