# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SINT1_29640.2	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SINT1_29640.3	4083.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SINT1_29640.5	4076.1	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SINT1_29640.1	3999.9	1861	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SINT1_29640.4	3803.9	1807	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SINT1_29640.6	3803.7	1806	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Fragmented	SINT1_94700.1	503.1	541	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Duplicated	SINT1_34170.3	1197.5	1411	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SINT1_34170.2	1195.8	1411	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SINT1_34170.1	1179.9	1400	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SINT1_6560.1	2111.9	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	SINT1_19940.1	522.3	501	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	SINT1_80430.1	1162.5	1176	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SINT1_80430.2	1017.8	993	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Duplicated	SINT1_15120.2	1014.9	991	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SINT1_15120.3	1014.9	991	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SINT1_15120.1	1002.3	929	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	SINT1_20460.5	1054.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SINT1_20460.2	1053.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SINT1_20460.7	1053.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SINT1_20460.1	1053.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SINT1_20460.6	1037.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SINT1_20460.3	1038.0	886	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
