Orthogroup	schistosoma_bovis	fasciola_gigantica
OG0000002	SBOV2_96700.1	FGIG_02209
OG0000002	SBOV2_50780.1, SBOV2_50780.2	FGIG_11489
OG0000008	SBOV2_39270.1, SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1, SBOV2_68530.1	FGIG_01604
OG0000010	SBOV2_81980.1	FGIG_10402
OG0000012	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29	FGIG_00643
OG0000014	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20	FGIG_02434
OG0000015	SBOV2_65410.1, SBOV2_65420.1	FGIG_12126, FGIG_08847
OG0000015	SBOV2_29300.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SBOV2_29290.1	FGIG_10471, FGIG_07736
OG0000015	SBOV2_42900.1	FGIG_03653
OG0000015	SBOV2_41940.1, SBOV2_41950.1, SBOV2_41990.2, SBOV2_41960.1	FGIG_02432
OG0000015	SBOV2_9870.1	FGIG_05368, FGIG_05133
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9, SBOV2_30990.6, SBOV2_30990.1	FGIG_11320
OG0000021	SBOV2_7110.1	FGIG_04378, FGIG_04728
OG0000021	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2	FGIG_06427, FGIG_06428
OG0000022	SBOV2_40340.1	FGIG_03596, FGIG_03595
OG0000024	SBOV2_23240.1	FGIG_02542
OG0000024	SBOV2_90560.1	FGIG_10904
OG0000024	SBOV2_63690.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	SBOV2_78760.1	FGIG_05063
OG0000026	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
