Orthogroup	fasciola_gigantica	schmidtea_mediterranea
OG0000000	FGIG_01283, FGIG_11047, FGIG_07746	h1SMcT0000914.1
OG0000002	FGIG_02209	h1SMcT0015173.1
OG0000002	FGIG_11600, FGIG_09080, FGIG_11739, FGIG_10285, FGIG_09319, FGIG_11489	h1SMcT0001934.1
OG0000008	FGIG_01604	h1SMcT0006744.1, h1SMcT0007054.1, h1SMcT0007054.2, h1SMcT0015005.1
OG0000009	FGIG_02970, FGIG_01054	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	FGIG_10402	h1SMcT0012568.1
OG0000012	FGIG_00643	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	FGIG_02434	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	FGIG_12126, FGIG_08847, FGIG_09118, FGIG_10861, FGIG_10862, FGIG_07349, FGIG_10471, FGIG_07736, FGIG_03654, FGIG_03653, FGIG_02432, FGIG_02431, FGIG_11504, FGIG_05368, FGIG_05133	h1SMcT0022961.1
OG0000019	FGIG_11320, FGIG_07515	h1SMcT0009829.1
OG0000021	FGIG_04378, FGIG_04728, FGIG_06427, FGIG_06428	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	FGIG_03596, FGIG_03595	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	FGIG_02542	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	FGIG_02662	h1SMcT0012325.1
OG0000024	FGIG_01641	h1SMcT0018867.1, h1SMcT0018867.2
OG0000024	FGIG_07194	h1SMcT0018417.1, h1SMcT0017552.1, h1SMcT0002548.1, h1SMcT0002548.2, h1SMcT0016506.1, h1SMcT0014680.1, h1SMcT0020917.1, h1SMcT0020917.2, h1SMcT0011022.1, h1SMcT0020391.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	FGIG_12230	h1SMcT0010675.1, h1SMcT0012436.1
OG0000026	FGIG_09798, FGIG_05063, FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	FGIG_01225	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	FGIG_04785, FGIG_00115, FGIG_07271, FGIG_00116	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	FGIG_11109	h1SMcT0004609.1
OG0000030	FGIG_03562	h1SMcT0022545.1
OG0000031	FGIG_00219, FGIG_09645	h1SMcT0002175.5, h1SMcT0002175.6
OG0000032	FGIG_03670	h1SMcT0013288.1, h1SMcT0013302.3, h1SMcT0013288.2, h1SMcT0013302.1, h1SMcT0013302.2
OG0000032	FGIG_06714	h1SMcT0017710.1
OG0000032	FGIG_08039, FGIG_08038	h1SMcT0016933.1, h1SMcT0017699.1
OG0000032	FGIG_04371	h1SMcT0007869.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	FGIG_03979, FGIG_03980	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	FGIG_03131, FGIG_03132	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000040	FGIG_07013	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3
OG0000042	FGIG_05270	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000049	FGIG_07932, FGIG_00477	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
