Orthogroup	schistosoma_curassoni	schistosoma_mattheei
OG0000000	SCUR1_58000.1	SMTH1_82000.1, SMTH1_72360.1
OG0000000	SCUR1_23690.1, SCUR1_88590.1, SCUR1_37140.1, SCUR1_20710.1, SCUR1_2040.1	SMTH1_29220.1, SMTH1_81860.1
OG0000000	SCUR1_57110.1	SMTH1_40030.1
OG0000000	SCUR1_42610.1	SMTH1_93830.1, SMTH1_26960.1
OG0000000	SCUR1_42090.1, SCUR1_58390.1	SMTH1_61590.1
OG0000000	SCUR1_44610.1	SMTH1_71430.1
OG0000000	SCUR1_63140.1, SCUR1_85690.1	SMTH1_8740.1, SMTH1_88000.1, SMTH1_50730.1, SMTH1_66270.1, SMTH1_22330.1, SMTH1_39170.1, SMTH1_63530.1, SMTH1_21400.1
OG0000000	SCUR1_31990.1	SMTH1_53680.1
OG0000000	SCUR1_6680.1, SCUR1_45890.1	SMTH1_47590.1
OG0000000	SCUR1_12880.1, SCUR1_56780.1	SMTH1_77130.1
OG0000000	SCUR1_12000.1	SMTH1_99570.1
OG0000000	SCUR1_17450.1, SCUR1_78480.1	SMTH1_820.1
OG0000000	SCUR1_86560.1	SMTH1_10620.1
OG0000000	SCUR1_64960.1	SMTH1_78610.1
OG0000000	SCUR1_49910.1	SMTH1_38000.1
OG0000000	SCUR1_33810.1, SCUR1_3950.1	SMTH1_91240.1
OG0000000	SCUR1_2030.1, SCUR1_59970.1	SMTH1_3250.1
OG0000000	SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1	SMTH1_26170.1, SMTH1_46570.1
OG0000000	SCUR1_36220.1, SCUR1_10670.1	SMTH1_31620.1
OG0000000	SCUR1_18070.1	SMTH1_450.1
OG0000002	SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2	SMTH1_97440.1, SMTH1_97450.1
