Orthogroup	fasciola_gigantica	schistosoma_intercalatum
OG0000008	FGIG_01604	SINT1_46510.1, SINT1_25930.1, SINT1_64440.1, SINT1_70830.1, SINT1_63570.1, SINT1_33470.1, SINT1_71680.1, SINT1_79730.1, SINT1_53990.1, SINT1_53990.2, SINT1_83680.1, SINT1_92450.1, SINT1_22730.1
OG0000012	FGIG_00643	SINT1_40600.24, SINT1_40600.23, SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20
OG0000014	FGIG_02434	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7
OG0000015	FGIG_12126, FGIG_08847	SINT1_65310.1, SINT1_65320.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SINT1_38460.1
OG0000015	FGIG_10471, FGIG_07736	SINT1_38470.1, SINT1_38470.2
OG0000015	FGIG_03653	SINT1_43670.1
OG0000015	FGIG_02432	SINT1_42740.3, SINT1_42740.4, SINT1_42760.1, SINT1_42740.1, SINT1_42740.2
OG0000015	FGIG_05368, FGIG_05133	SINT1_10280.1
OG0000019	FGIG_11320	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5, SINT1_36670.11
OG0000021	FGIG_04378, FGIG_04728	SINT1_8390.1
OG0000021	FGIG_06427, FGIG_06428	SINT1_5830.1
OG0000022	FGIG_03596, FGIG_03595	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30
OG0000024	FGIG_02542	SINT1_23830.1
OG0000024	FGIG_10904	SINT1_90000.1
OG0000026	FGIG_05063	SINT1_78530.1, SINT1_78530.2
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2, SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1
OG0000027	FGIG_03818	SINT1_40020.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14
OG0000029	FGIG_01225	SINT1_57320.1
OG0000029	FGIG_12390, FGIG_07520	SINT1_85860.1
OG0000029	FGIG_04785	SINT1_20550.1, SINT1_20550.2, SINT1_20550.3
OG0000030	FGIG_03562	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40
OG0000031	FGIG_00219, FGIG_09645	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3
OG0000032	FGIG_12135	SINT1_9690.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SINT1_90240.1, SINT1_90240.2, SINT1_90230.1, SINT1_90220.1, SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1
OG0000035	FGIG_03979, FGIG_03980	SINT1_14990.1
OG0000037	FGIG_03131, FGIG_03132	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1, SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1
