Orthogroup	schistosoma_mattheei	schistosoma_bovis
OG0000000	SMTH1_68270.1	SBOV2_41410.1
OG0000000	SMTH1_29220.1, SMTH1_81860.1	SBOV2_46600.1
OG0000000	SMTH1_93830.1, SMTH1_26960.1	SBOV2_45160.1
OG0000000	SMTH1_8740.1, SMTH1_88000.1, SMTH1_50730.1, SMTH1_66270.1, SMTH1_22330.1, SMTH1_39170.1, SMTH1_63530.1, SMTH1_21400.1	SBOV2_24640.1
OG0000000	SMTH1_42020.1, SMTH1_100770.1	SBOV2_95740.1
OG0000000	SMTH1_47590.1, SMTH1_77130.1	SBOV2_45580.1
OG0000000	SMTH1_24620.1	SBOV2_56410.1
OG0000002	SMTH1_36660.2	SBOV2_81170.1, SBOV2_81170.2, SBOV2_81170.3, SBOV2_81170.4, SBOV2_81170.5
OG0000002	SMTH1_97440.1, SMTH1_97450.1	SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1
OG0000002	SMTH1_104900.1	SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1
OG0000002	SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2	SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3
OG0000003	SMTH1_51780.8	SBOV2_22620.3
OG0000003	SMTH1_51780.9	SBOV2_32260.1
OG0000003	SMTH1_51780.1, SMTH1_51780.3	SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6
OG0000003	SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4	SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2
OG0000003	SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3	SBOV2_67820.1
OG0000004	SMTH1_76680.1	SBOV2_84080.1
OG0000004	SMTH1_6510.1	SBOV2_45530.3, SBOV2_17290.1
OG0000004	SMTH1_20460.1, SMTH1_48240.1, SMTH1_98470.1	SBOV2_92090.1
OG0000004	SMTH1_107180.1	SBOV2_31470.1
OG0000005	SMTH1_51080.1	SBOV2_77100.1
OG0000005	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1
OG0000005	SMTH1_1740.1, SMTH1_70850.1, SMTH1_9590.1, SMTH1_52740.1, SMTH1_52740.2, SMTH1_53770.1, SMTH1_84460.1, SMTH1_30140.1, SMTH1_73580.1, SMTH1_70860.1, SMTH1_84450.1	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1
OG0000006	SMTH1_68820.1	SBOV2_16310.1
OG0000006	SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1	SBOV2_18200.1
OG0000006	SMTH1_17810.1, SMTH1_103690.1	SBOV2_59330.1, SBOV2_9090.1
OG0000006	SMTH1_7160.1	SBOV2_2480.1
OG0000006	SMTH1_25140.1	SBOV2_88050.1, SBOV2_52390.1, SBOV2_58500.1
OG0000006	SMTH1_35360.1, SMTH1_35950.1, SMTH1_55240.1	SBOV2_16520.1, SBOV2_38470.1
OG0000006	SMTH1_12120.1	SBOV2_58600.1, SBOV2_55160.1
