# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	EWB00_006057	4115.6	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Duplicated	EWB00_006675.1	1519.2	1660	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	EWB00_006675.2	1469.0	1570	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	EWB00_001776	1046.7	1191	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Duplicated	EWB00_003824.1	2093.9	1595	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	EWB00_003824.2	2093.9	1595	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	EWB00_003824.3	2092.5	1577	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	EWB00_003824.4	2092.5	1577	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Duplicated	EWB00_010312.1	490.5	450	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	EWB00_010312.2	418.4	374	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	EWB00_000152	1000.7	1013	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	EWB00_002330	1018.5	946	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	EWB00_002518	1046.1	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Missing
63697at33208	Duplicated	EWB00_004400.1	1526.0	743	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	EWB00_004400.2	1526.0	743	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	EWB00_004400.3	1522.9	733	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	EWB00_002651.2	800.7	924	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	EWB00_006881	1071.5	788	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	EWB00_005960	442.5	546	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Missing
84980at33208	Duplicated	EWB00_005035.1	753.1	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
84980at33208	Duplicated	EWB00_005035.2	750.7	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	EWB00_008954	227.2	369	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Duplicated	EWB00_009741.1	423.7	654	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
99987at33208	Duplicated	EWB00_009741.2	365.2	462	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	EWB00_010185	1010.4	818	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Duplicated	EWB00_002588.1	304.0	578	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
103854at33208	Duplicated	EWB00_002588.2	271.8	514	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	EWB00_008836	671.3	438	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	EWB00_007352	120.6	417	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
109109at33208	Missing
111730at33208	Duplicated	EWB00_006882.1	630.6	560	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111730at33208	Duplicated	EWB00_006882.2	596.4	549	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	EWB00_006497.3	307.3	246	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Duplicated	EWB00_007615.1	1578.5	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	EWB00_007615.2	1572.2	856	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Complete	EWB00_004706	827.1	562	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	EWB00_002083	1019.6	982	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Missing
123923at33208	Complete	EWB00_009380	152.3	334	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	EWB00_009549	711.0	738	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Duplicated	EWB00_005434.3	528.1	541	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	EWB00_005434.1	527.3	541	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	EWB00_005434.2	527.3	541	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	EWB00_003407	655.2	534	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Duplicated	EWB00_004839.1	359.9	398	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130245at33208	Duplicated	EWB00_004839.2	359.7	398	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130245at33208	Duplicated	EWB00_004839.3	359.7	398	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Complete	EWB00_003115.1	309.8	429	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Duplicated	EWB00_007451.1	1017.1	774	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	EWB00_007451.2	1089.8	699	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Missing
132087at33208	Duplicated	EWB00_010884.2	570.5	667	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
132087at33208	Duplicated	EWB00_010884.3	559.6	656	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
132087at33208	Duplicated	EWB00_010884.1	517.9	605	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	EWB00_004130	922.2	865	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	EWB00_009023	194.7	294	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Duplicated	EWB00_007244.2	730.4	564	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
137383at33208	Duplicated	EWB00_007244.1	646.8	505	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Duplicated	EWB00_008561.2	358.2	601	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	EWB00_008561.3	358.2	601	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	EWB00_008561.4	358.2	601	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	EWB00_000637	252.6	319	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Complete	EWB00_006554	382.8	354	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
146671at33208	Duplicated	EWB00_001760.2	721.8	681	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
146671at33208	Duplicated	EWB00_001760.1	672.2	636	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
147873at33208	Complete	EWB00_010637	841.4	530	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
148067at33208	Complete	EWB00_003668	174.8	437	https://v10-1.orthodb.org/?query=148067at33208	Nrap protein, domain 3
