Orthogroup	schistosoma_guineensis	schistosoma_haematobium
OG0000000	SGUI1_63710.1	SHAE2_67200.1
OG0000000	SGUI1_94240.1	SHAE2_68120.1, SHAE2_12020.1, SHAE2_18070.1
OG0000000	SGUI1_23480.1	SHAE2_92780.1, SHAE2_42010.1
OG0000000	SGUI1_2190.1, SGUI1_17150.1, SGUI1_82350.1	SHAE2_1010.1
OG0000000	SGUI1_63730.1	SHAE2_75110.1
OG0000000	SGUI1_30560.1	SHAE2_29520.1
OG0000000	SGUI1_80190.1	SHAE2_31870.1, SHAE2_77190.1, SHAE2_77190.2
OG0000000	SGUI1_37170.1	SHAE2_79350.1
OG0000000	SGUI1_93610.1	SHAE2_44510.1
OG0000000	SGUI1_17850.1	SHAE2_36390.1
OG0000000	SGUI1_35040.1	SHAE2_79560.1
OG0000000	SGUI1_19010.1	SHAE2_54860.1, SHAE2_68440.1
OG0000000	SGUI1_8610.1	SHAE2_51070.1
OG0000000	SGUI1_72140.1	SHAE2_29830.1, SHAE2_30190.1
OG0000000	SGUI1_5880.1	SHAE2_19080.1
OG0000000	SGUI1_23940.1, SGUI1_72970.1, SGUI1_80390.1, SGUI1_85530.1, SGUI1_40540.1	SHAE2_25780.1
OG0000000	SGUI1_88850.1, SGUI1_16980.1	SHAE2_33880.1
OG0000000	SGUI1_85750.1	SHAE2_49000.1
OG0000000	SGUI1_9310.1, SGUI1_51190.1, SGUI1_76640.1, SGUI1_4030.1	SHAE2_67380.1, SHAE2_67390.1
OG0000000	SGUI1_64030.1, SGUI1_50100.1	SHAE2_53240.1
OG0000000	SGUI1_21620.1, SGUI1_21620.2, SGUI1_53860.1, SGUI1_69340.1, SGUI1_18180.1, SGUI1_95760.1, SGUI1_31910.1, SGUI1_31910.2, SGUI1_31910.3, SGUI1_31910.4, SGUI1_31910.5	SHAE2_33930.1
OG0000000	SGUI1_8640.1	SHAE2_43990.1, SHAE2_76270.1
OG0000002	SGUI1_68390.1, SGUI1_68390.2, SGUI1_68390.3, SGUI1_68390.4, SGUI1_68400.1	SHAE2_24820.1, SHAE2_24820.2, SHAE2_24820.3, SHAE2_24820.4
OG0000002	SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6	SHAE2_71200.1
OG0000002	SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1	SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4
OG0000002	SGUI1_13840.1	SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5
OG0000002	SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3
OG0000003	SGUI1_64140.1	SHAE2_20960.1
OG0000003	SGUI1_64980.1	SHAE2_64480.5
OG0000003	SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1	SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5
OG0000003	SGUI1_22480.2, SGUI1_22480.3	SHAE2_18320.1, SHAE2_18320.2
OG0000003	SGUI1_22480.1, SGUI1_22480.4	SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17
OG0000003	SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3	SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5
OG0000003	SGUI1_43280.1	SHAE2_85630.2
OG0000003	SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3
OG0000004	SGUI1_36240.1	SHAE2_46350.1
OG0000004	SGUI1_94720.1	SHAE2_45000.1, SHAE2_77060.1, SHAE2_22150.1, SHAE2_56330.1, SHAE2_85230.1, SHAE2_24720.1, SHAE2_53640.1, SHAE2_92300.1, SHAE2_56980.1, SHAE2_56980.2, SHAE2_2480.1, SHAE2_63150.1
OG0000004	SGUI1_59420.1	SHAE2_29060.1
OG0000004	SGUI1_64610.1	SHAE2_58010.1
OG0000004	SGUI1_43770.1	SHAE2_16670.1
OG0000004	SGUI1_54210.1	SHAE2_43050.1
OG0000004	SGUI1_80740.1	SHAE2_54530.1
OG0000004	SGUI1_43500.1	SHAE2_85020.1
OG0000004	SGUI1_52500.1, SGUI1_17400.1, SGUI1_35800.1, SGUI1_87470.1	SHAE2_102090.1, SHAE2_60460.1
OG0000004	SGUI1_69880.1	SHAE2_38170.1
OG0000004	SGUI1_89290.1	SHAE2_93840.1
OG0000004	SGUI1_22020.1, SGUI1_69970.1	SHAE2_102320.1, SHAE2_37060.1
OG0000004	SGUI1_61020.1, SGUI1_55970.1, SGUI1_86110.1, SGUI1_50300.1, SGUI1_74730.1	SHAE2_44870.1
OG0000004	SGUI1_90060.1, SGUI1_5950.1	SHAE2_54840.1
OG0000004	SGUI1_50420.1, SGUI1_39310.1	SHAE2_50380.1
OG0000004	SGUI1_52510.1, SGUI1_82750.1	SHAE2_50920.1
OG0000004	SGUI1_29770.1	SHAE2_20290.1
