Orthogroup	schistosoma_guineensis	opisthorchis_viverrini
OG0000000	SGUI1_30560.1, SGUI1_80190.1	T265_10065
OG0000000	SGUI1_8610.1	T265_03740
OG0000000	SGUI1_72140.1	T265_03618
OG0000000	SGUI1_5880.1	T265_05251
OG0000000	SGUI1_4030.1	T265_13971
OG0000000	SGUI1_95960.1	T265_11738, T265_01000, T265_04573, T265_03467
OG0000000	SGUI1_82770.1	T265_14052
OG0000000	SGUI1_42670.1, SGUI1_67100.1	T265_05739, T265_04107
OG0000002	SGUI1_40810.1	T265_07568
OG0000002	SGUI1_75350.1, SGUI1_75350.2, SGUI1_75350.3, SGUI1_57420.1, SGUI1_57420.2, SGUI1_80130.1, SGUI1_80130.2, SGUI1_85230.1, SGUI1_68390.1, SGUI1_68390.2, SGUI1_68390.3, SGUI1_68390.4, SGUI1_68400.1, SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2, SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1, SGUI1_3520.1, SGUI1_3520.2, SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	T265_11803
OG0000003	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	T265_11432
OG0000005	SGUI1_22440.1, SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1, SGUI1_46820.1, SGUI1_69540.1, SGUI1_48720.1, SGUI1_8030.1, SGUI1_75960.1, SGUI1_77060.1	T265_11244
OG0000006	SGUI1_74190.1, SGUI1_53820.1, SGUI1_46610.1, SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	T265_12134
OG0000006	SGUI1_6200.1, SGUI1_6200.2, SGUI1_6200.3, SGUI1_85990.1, SGUI1_58270.1, SGUI1_82620.1, SGUI1_51360.1, SGUI1_80960.1, SGUI1_25930.1	T265_06454
OG0000010	SGUI1_63390.1	T265_00181
OG0000012	SGUI1_40550.1	T265_16252, T265_09012
OG0000014	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	T265_11882
OG0000015	SGUI1_66240.1	T265_11957
OG0000015	SGUI1_38300.1	T265_01474, T265_01478, T265_01475, T265_15127
